"draw_size";"p1_seed";"p1_name";"p1_ht";"p1_age";"p2_seed";"p2_name";"p2_ht";"p2_age";"best_of";"p1_rank";"p1_rank_points";"p2_rank";"p2_rank_points";"hard";"carpet";"clay";"grass";"p1_abs_wins_clay";"p1_abs_wins_hard";"p1_abs_wins_carpet";"p1_abs_wins_grass";"p2_abs_losses_clay";"p2_abs_losses_hard";"p2_abs_losses_carpet";"p2_abs_losses_grass";"p1_abs_losses_clay";"p1_abs_losses_hard";"p1_abs_losses_carpet";"p1_abs_losses_grass";"p2_abs_wins_clay";"p2_abs_wins_hard";"p2_abs_wins_carpet";"p2_abs_wins_grass";"Grand_Slam";"Masters1000";"Olympics";"Another_level";"p1_abs_wins_level1";"p1_abs_wins_level2";"p2_abs_losses_level1";"p2_abs_losses_level2";"p1_abs_losses_level1";"p1_abs_losses_level2";"p2_abs_wins_level1";"p2_abs_wins_level2";"tournament_year";"p1_h2h";"p2_h2h";"R64";"R32";"R16";"QF";"SF";"Final";"p1_hand_R";"p1_hand_L";"p2_hand_R";"p2_hand_L";"p1_ace_avg";"p2_ace_avg";"p1_df_avg";"p2_df_avg";"p1_svpt_avg";"p2_svpt_avg";"p1_1stIn_avg";"p2_1stIn_avg";"p1_1stWon_avg";"p2_1stWon_avg";"p1_2ndWon_avg";"p2_2ndWon_avg";"p1_SvGms_avg";"p2_SvGms_avg";"p1_bpSaved_avg";"p2_bpSaved_avg";"p1_bpFaced_avg";"p2_bpFaced_avg";"p1_home";"p2_home";"winner_last_name";"loser_last_name";"FirstAlphabetically";"target"
"84828";56;10;"Andrei Cherkasov";180;20.6;7;"Emilio Sanchez";180;25.7;3;15;1208;8;1493;1;0;0;0;25;21;19;0;78;37;29;5;0;15;0;0;0;62;0;0;0;1;0;0;17;48;42;107;14;0;80;0;1991;2;2;0;0;1;0;0;0;1;0;1;0;2.16666666666667;4.6;3;1.6;108;70.4;64.3333333333333;47.8;40.8333333333333;37.2;23.8333333333333;10;16;10.6;8;2.8;12;3.8;0;0;"Sanchez";"Cherkasov";"Cherkasov";0
"84829";56;2;"Andre Agassi";180;20.8;16;"Jim Courier";185;20.5;3;4;2278;26;919;1;0;0;0;55;105;23;0;16;31;11;2;0;31;0;0;0;56;0;0;0;1;0;0;68;115;23;37;29;0;44;0;1991;4;1;0;0;1;0;0;0;1;0;1;0;0;6.55555555555556;2;2;63.5;69.8888888888889;39;47.2222222222222;24.5;35.8888888888889;9.5;13.3333333333333;8.5;11.6666666666667;3.5;3;6.5;4;1;1;"Courier";"Agassi";"Agassi";0
"84830";56;1;"Stefan Edberg";188;25.1;15;"Michael Chang";175;19;3;1;3997;13;1288;1;0;0;0;0;220;0;0;0;29;0;0;28;48;41;16;22;64;24;8;0;1;0;0;209;0;21;0;52;81;49;69;1991;5;3;0;0;0;1;0;0;1;0;1;0;2.93333333333333;2.33333333333333;3.73333333333333;2.33333333333333;79.0666666666667;44.6666666666667;50.2666666666667;22.3333333333333;37.2;12.6666666666667;15;8.66666666666667;12.3333333333333;6.66666666666667;3.93333333333333;3.33333333333333;5.53333333333333;7;0;1;"Edberg";"Chang";"Edberg";1
"84833";56;16;"Jim Courier";185;20.5;7;"Emilio Sanchez";180;25.7;3;26;919;8;1493;1;0;0;0;0;57;0;0;0;37;0;0;16;31;11;2;197;63;18;4;0;1;0;0;45;0;42;0;23;37;81;201;1991;0;1;0;0;0;1;0;0;1;0;1;0;7;2.75;2.2;1;71.4;72.25;46.7;49.25;35.2;31.5;14.5;9.75;11.9;11.75;3.2;5.25;4.4;9.25;1;0;"Courier";"Sanchez";"Courier";1
"84834";56;1;"Stefan Edberg";188;25.1;3;"Guy Forget";190;26.1;3;1;3997;5;1730;1;0;0;0;67;221;111;64;60;52;38;19;0;48;0;0;0;78;0;0;0;1;0;0;210;253;60;109;52;0;72;0;1991;4;2;0;0;0;0;1;0;1;0;0;1;3.5;7.9;6;1.4;117;68.5;72.5;37.6;50;31.5;22;18.9;19.5;12.05;5;1.8;10.5;2.55;0;0;"Forget";"Edberg";"Edberg";0
"84835";56;16;"Jim Courier";185;20.5;11;"Michael Stich";193;22.3;3;26;919;23;959;1;0;0;0;0;58;0;0;0;16;0;0;16;31;11;2;6;37;8;8;0;1;0;0;46;0;13;0;23;37;16;43;1991;1;1;0;0;0;0;1;0;1;0;1;0;6.63636363636364;7;2;5.6;68.4545454545455;83.6;44.8181818181818;46.6;34;35.2;14.1818181818182;16.4;11.5454545454545;12.4;2.90909090909091;4.8;4;7.2;1;0;"Courier";"Stich";"Courier";1
"84836";56;16;"Jim Courier";185;20.5;3;"Guy Forget";190;26.1;5;26;919;5;1730;1;0;0;0;0;59;0;0;0;52;0;0;16;31;11;2;66;79;42;26;0;1;0;0;47;0;60;0;23;37;73;140;1991;0;0;0;0;0;0;0;1;1;0;0;1;6.33333333333333;7;2;2;67.8333333333333;95;43.75;46;33.3333333333333;35.5;14.3333333333333;24;11.3333333333333;14;3;4;4;7;1;0;"Courier";"Forget";"Courier";1
"84898";96;1;"Stefan Edberg";188;25.1;31;"Goran Prpic";180;26.8;3;1;3846;43;700;1;0;0;0;0;222;0;0;0;7;0;0;28;49;41;16;49;9;5;0;0;1;0;0;211;0;8;0;53;81;8;55;1991;0;2;0;1;0;0;0;0;1;0;1;0;2.76470588235294;3.25;3.64705882352941;1.75;77.7647058823529;76.5;48.7058823529412;49.5;36;29.5;15.0588235294118;14.25;12.1176470588235;11.5;4;6;5.70588235294118;9.5;0;0;"Edberg";"Prpic";"Edberg";1
"84899";96;18;"Juan Aguilera";183;28.9;15;"Michael Stich";193;22.3;3;23;1014;20;1079;1;0;0;0;130;5;3;2;11;17;11;4;0;13;0;0;0;38;0;0;0;1;0;0;24;116;14;29;19;0;17;0;1991;0;0;0;1;0;0;0;0;1;0;1;0;1.66666666666667;6.42857142857143;3.66666666666667;2.47619047619048;46.6666666666667;68.3809523809524;26;39.5238095238095;17.3333333333333;31.2380952380952;7.66666666666667;17.5238095238095;8;11.4761904761905;1.66666666666667;2.38095238095238;5.33333333333333;3.33333333333333;0;0;"Stich";"Aguilera";"Aguilera";0
"84900";96;10;"Michael Chang";175;19;23;"Henri Leconte";185;27.6;3;12;1345;32;833;1;0;0;0;0;65;0;0;0;49;0;0;10;30;13;5;137;78;50;42;0;1;0;0;50;0;53;0;22;36;89;218;1991;2;1;0;1;0;0;0;0;1;0;0;1;0.444444444444444;8.33333333333333;1.33333333333333;8;75.7777777777778;95.6666666666667;51.1111111111111;44;33.5555555555556;36.6666666666667;13.1111111111111;24.3333333333333;11.3333333333333;14.3333333333333;4.88888888888889;4.66666666666667;7.33333333333333;7.33333333333333;1;0;"Chang";"Leconte";"Chang";1
